date,srtg_price_idr,TBIG,MDKA,ADRO,AADI,MPMX,AGII,NRCA,jci_idx,nav_idr_bn,nav_per_share_idr,discount_to_nav_pct
2025-07-23,2020.0,1970.0,2440.0,2020.0,7175.0,975.0,970.0,1015.0,,62170.65,4588.24,55.97
2025-07-24,1990.0,1955.0,2420.0,1975.0,6925.0,980.0,965.0,1015.0,,61470.25,4536.55,56.13
2025-07-25,1950.0,2000.0,2370.0,1915.0,6875.0,975.0,935.0,1015.0,,61188.68,4515.77,56.82
2025-07-28,1965.0,2000.0,2590.0,1925.0,7025.0,975.0,950.0,1015.0,,62458.86,4609.51,57.37
2025-07-29,1950.0,1990.0,2640.0,1920.0,6950.0,970.0,940.0,1015.0,,62495.72,4612.23,57.72
2025-07-30,1920.0,1965.0,2550.0,1900.0,6875.0,960.0,930.0,1015.0,,61679.19,4551.97,57.82
2025-07-31,1900.0,1955.0,2360.0,1850.0,6800.0,955.0,945.0,915.0,,60359.56,4454.58,57.35
2025-08-01,1915.0,1985.0,2450.0,1865.0,6850.0,955.0,930.0,990.0,,61136.65,4511.93,57.56
2025-08-04,1875.0,1985.0,2360.0,1900.0,6775.0,965.0,920.0,900.0,,60797.49,4486.9,58.21
2025-08-05,1875.0,1940.0,2330.0,1865.0,6975.0,960.0,900.0,890.0,,60383.95,4456.38,57.93
2025-08-06,1895.0,1925.0,2400.0,1860.0,7100.0,965.0,920.0,975.0,,60763.35,4484.38,57.74
2025-08-07,1825.0,1950.0,2490.0,1870.0,7125.0,965.0,900.0,970.0,,61437.87,4534.16,59.75
2025-08-08,1745.0,1935.0,2470.0,1790.0,7325.0,960.0,890.0,1000.0,,61080.83,4507.81,61.29
2025-08-11,1780.0,1925.0,2390.0,1810.0,7200.0,965.0,910.0,850.0,,60574.73,4470.46,60.18
2025-08-12,1795.0,1920.0,2280.0,1860.0,7075.0,965.0,910.0,725.0,,60090.05,4434.69,59.52
2025-08-13,1780.0,1915.0,2280.0,1830.0,6950.0,965.0,910.0,775.0,,59771.22,4411.16,59.65
2025-08-14,1865.0,1920.0,2270.0,1840.0,6975.0,970.0,910.0,740.0,,59844.25,4416.55,57.77
2025-08-15,1825.0,1900.0,2220.0,1810.0,6875.0,960.0,900.0,730.0,,59173.93,4367.08,58.21
2025-08-19,1845.0,1940.0,2310.0,1800.0,6875.0,960.0,900.0,755.0,,59841.54,4416.35,58.22
2025-08-20,1855.0,1920.0,2320.0,1810.0,6850.0,965.0,900.0,845.0,,59790.19,4412.56,57.96
2025-08-21,1805.0,1925.0,2280.0,1780.0,6850.0,960.0,885.0,840.0,,59475.96,4389.37,58.88
2025-08-22,1805.0,1915.0,2280.0,1775.0,6825.0,960.0,895.0,840.0,,59354.15,4380.38,58.79
2025-08-25,1815.0,1930.0,2260.0,1740.0,6825.0,960.0,890.0,825.0,,59196.43,4368.74,58.45
2025-08-26,1820.0,1930.0,2230.0,1735.0,7275.0,960.0,890.0,805.0,,59559.97,4395.57,58.59
2025-08-27,1975.0,1925.0,2390.0,1805.0,7025.0,960.0,880.0,1005.0,,60345.2,4453.52,55.65
2025-08-28,1900.0,1935.0,2510.0,1770.0,6975.0,960.0,880.0,960.0,,60751.97,4483.54,57.62
2025-08-29,1855.0,1920.0,2470.0,1755.0,6900.0,955.0,860.0,990.0,,60281.24,4448.8,58.3
2025-09-01,1815.0,1845.0,2490.0,1720.0,7050.0,955.0,820.0,915.0,,59827.45,4415.31,58.89
2025-09-02,1880.0,1810.0,2570.0,1720.0,7175.0,960.0,840.0,910.0,,60121.76,4437.03,57.63
2025-09-03,1895.0,1805.0,2550.0,1730.0,7175.0,960.0,835.0,875.0,,60032.19,4430.42,57.23
2025-09-04,2030.0,1850.0,2620.0,1760.0,7250.0,960.0,830.0,855.0,,60911.72,4495.33,54.84
2025-09-08,2000.0,1865.0,2640.0,1720.0,7075.0,950.0,805.0,760.0,,60668.91,4477.41,55.33
2025-09-09,2000.0,1855.0,2700.0,1685.0,7025.0,945.0,775.0,950.0,,60662.27,4476.92,55.33
2025-09-10,1950.0,1840.0,2600.0,1685.0,7000.0,950.0,770.0,1120.0,,60089.1,4434.62,56.03
2025-09-11,1920.0,1840.0,2500.0,1680.0,7050.0,950.0,765.0,1050.0,,59639.38,4401.43,56.38
2025-09-12,1925.0,1885.0,2530.0,1670.0,7000.0,935.0,735.0,1080.0,,59953.33,4424.6,56.49
2025-09-15,1910.0,1835.0,2520.0,1680.0,7025.0,945.0,715.0,1085.0,,59645.88,4401.91,56.61
2025-09-16,1930.0,1835.0,2540.0,1650.0,6975.0,940.0,830.0,1045.0,,59555.37,4395.23,56.09
2025-09-17,1880.0,1790.0,2490.0,1675.0,7100.0,940.0,805.0,1025.0,,59253.47,4372.95,57.01
2025-09-18,1940.0,1815.0,2370.0,1640.0,6975.0,940.0,805.0,975.0,,58542.64,4320.49,55.1
2025-09-19,1945.0,1740.0,2380.0,1665.0,7100.0,940.0,820.0,950.0,,58321.77,4304.19,54.81
2025-09-22,1980.0,1785.0,2520.0,1660.0,7075.0,940.0,810.0,900.0,,59241.55,4372.07,54.71
2025-09-23,1930.0,1785.0,2450.0,1760.0,7250.0,940.0,815.0,930.0,,59599.27,4398.47,56.12
2025-09-24,1880.0,1760.0,2280.0,1730.0,7450.0,935.0,815.0,915.0,,58695.35,4331.76,56.6
2025-09-25,1765.0,1765.0,2070.0,1725.0,7600.0,935.0,790.0,915.0,,57883.7,4271.86,58.68
2025-09-26,1790.0,1750.0,2220.0,1700.0,7625.0,935.0,795.0,910.0,,58397.52,4309.78,58.47
2025-09-29,1790.0,1735.0,2200.0,1725.0,7450.0,935.0,800.0,900.0,,58107.82,4288.4,58.26
2025-09-30,1760.0,1740.0,2110.0,1690.0,7450.0,935.0,805.0,905.0,,57553.49,4247.49,58.56
2025-10-01,1745.0,1825.0,2060.0,1670.0,7400.0,930.0,880.0,905.0,,57780.32,4264.23,59.08
2025-10-02,1740.0,1785.0,2120.0,1670.0,7600.0,935.0,1000.0,910.0,,58065.14,4285.25,59.4
2025-10-03,1740.0,1765.0,2120.0,1660.0,7450.0,930.0,1250.0,900.0,,57759.86,4262.72,59.18
2025-10-06,1735.0,1900.0,2130.0,1655.0,7350.0,930.0,1560.0,930.0,,58729.09,4334.25,59.97
2025-10-07,1775.0,1895.0,2240.0,1650.0,7500.0,930.0,1560.0,1000.0,,59377.73,4382.12,59.49
2025-10-08,1875.0,1895.0,2280.0,1850.0,8325.0,925.0,1950.0,950.0,,61593.69,4545.66,58.75
2025-10-09,1805.0,1905.0,2300.0,1730.0,7650.0,930.0,1950.0,910.0,,60397.23,4457.36,59.51
2025-10-10,1780.0,1850.0,2370.0,1750.0,7700.0,935.0,1950.0,905.0,,60501.7,4465.07,60.14
2025-10-13,1745.0,1800.0,2370.0,1725.0,7825.0,930.0,1950.0,880.0,,60156.99,4439.63,60.69
2025-10-14,1700.0,1845.0,2350.0,1705.0,7800.0,925.0,1950.0,795.0,,60233.82,4445.3,61.76
2025-10-15,1630.0,1865.0,2350.0,1680.0,7875.0,920.0,1950.0,775.0,,60330.7,4452.45,63.39
2025-10-16,1630.0,1860.0,2400.0,1675.0,7850.0,920.0,1950.0,780.0,,60478.93,4463.39,63.48
2025-10-17,1560.0,1960.0,2340.0,1650.0,7800.0,920.0,1755.0,755.0,,60667.69,4477.32,65.16
2025-10-20,1655.0,1885.0,2280.0,1695.0,7900.0,930.0,1580.0,755.0,,60152.11,4439.27,62.72
2025-10-21,1700.0,1900.0,2370.0,1805.0,8025.0,930.0,1500.0,775.0,,61334.62,4526.54,62.44
2025-10-22,1670.0,1895.0,2270.0,1775.0,7950.0,930.0,1600.0,780.0,,60625.95,4474.24,62.68
2025-10-23,1640.0,1870.0,2230.0,1790.0,7900.0,935.0,1580.0,755.0,,60273.11,4448.2,63.13
2025-10-24,1650.0,1890.0,2220.0,1760.0,7825.0,940.0,1440.0,760.0,,60107.66,4435.99,62.8
2025-10-27,1660.0,1855.0,2250.0,1785.0,7975.0,945.0,1380.0,695.0,,60280.43,4448.74,62.69
2025-10-28,1700.0,1825.0,2170.0,1785.0,8150.0,960.0,1445.0,675.0,,59949.67,4424.33,61.58
2025-10-29,1750.0,1860.0,2460.0,1935.0,8350.0,965.0,1360.0,690.0,,62510.35,4613.31,62.07
2025-10-30,1740.0,1910.0,2500.0,1980.0,8625.0,965.0,1310.0,700.0,,63582.16,4692.41,62.92
2025-10-31,1720.0,2380.0,2440.0,1885.0,8550.0,970.0,1320.0,755.0,,66138.77,4881.09,64.76
